Command,Explanation,Doc_Path,Html_Path
&,Start a new process in the background,docs/txt/&.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\&.html
alias,Create an alias,docs/txt/alias.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\alias.html
apropos,Search Help manual pages (man -k),docs/txt/apropos.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\apropos.html
apt,Search for and install software packages (Debian/Ubuntu),docs/txt/apt.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\apt.html
apt-get,Search for and install software packages (Debian/Ubuntu),docs/txt/apt-get.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\apt-get.html
aptitude,Search for and install software packages (Debian/Ubuntu),docs/txt/aptitude.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\aptitude.html
aspell,Spell Checker,docs/txt/aspell.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\aspell.html
at,Schedule a command to run once at a particular time,docs/txt/at.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\at.html
awk,"Find and Replace text, database sort/validate/index",docs/txt/awk.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\awk.html
basename,Strip directory and suffix from filenames,docs/txt/basename.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\basename.html
base32,Base32 encode/decode data and print to standard output,docs/txt/base32.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\base32.html
base64,Base64 encode/decode data and print to standard output,docs/txt/base64.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\base64.html
bash,GNU Bourne-Again SHell,docs/txt/bash.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\bash.html
bc,Arbitrary precision calculator language,docs/txt/bc.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\bc.html
bg,Send to background,docs/txt/bg.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\bg.html
bind,Set or display readline key and function bindings ,docs/txt/bind.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\bind.html
break,Exit from a loop ,docs/txt/break.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\break.html
builtin,Run a shell builtin,docs/txt/builtin.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\builtin.html
bzip2,Compress or decompress named file(s),docs/txt/bzip2.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\bzip2.html
cal,Display a calendar,docs/txt/cal.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\cal.html
caller,Return the context of any active subroutine call ,docs/txt/caller.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\caller.html
case,Conditionally perform a command,docs/txt/case.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\case.html
cat,Concatenate and print (display) the content of files,docs/txt/cat.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\cat.html
cd,Change Directory,docs/txt/cd.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\cd.html
cfdisk,Partition table manipulator for Linux,docs/txt/cfdisk.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\cfdisk.html
chattr,Change file attributes on a Linux file system,docs/txt/chattr.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\chattr.html
chgrp,Change group ownership,docs/txt/chgrp.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\chgrp.html
chmod,Change access permissions,docs/txt/chmod.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\chmod.html
